OrgCode,OrgName,AccountType,AccountCode,AccountDesc,PostedDate,Source,DocumentType,DocumentNumber,DocumentDate,FiscalPeriod,Description,CustomerCode,CustomerName,PersonName,Reference,ProjectOrgCode,ProjectCode,ProjectTitle,Quantity,BeginningBalanceLC,DebitLC,CreditLC,EndingBalanceLC,AccountTypeOrderBy,ArrangeBy,LocalCurrency
MYCO,Myco,ASSET,10.01.01,Operating Bank Account,9/30/2020,VP,Vendor Payment,0000000291,9/30/2020,FY20-12,,V-JOELANDLORD,Landlord Joe,,,,,,,0.00,0.00,7000.00,-7000.00,1,MYCO - Myco,USD
MYCO,Myco,ASSET,10.01.01,Operating Bank Account,9/30/2020,VP,Vendor Payment,0000000292,9/30/2020,FY20-12,,V-MATERIALINC,Materials Incorporated,,,,,,,0.00,0.00,5000.00,-5000.00,1,MYCO - Myco,USD
MYCO,Myco,ASSET,10.01.01,Operating Bank Account,9/30/2020,VP,Vendor Payment,0000000293,9/30/2020,FY20-12,,V-SDG&E,San Diego Gas & Electric,,,,,,,0.00,0.00,1000.00,-1000.00,1,MYCO - Myco,USD
OPS.DS,Digital Services,ASSET,10.02.01,Accounts Receivable,,,,,,,Beginning Balance,,,,,,,,,1505984.82,,,1505984.82,1,MYCO - Myco,USD
GS-CYBER,Cyber,ASSET,10.02.01,Accounts Receivable,,,,,,,Beginning Balance,,,,,,,,,46.78,,,46.78,1,MYCO - Myco,USD
GS-SE,Systems Engineering,ASSET,10.02.01,Accounts Receivable,,,,,,,Beginning Balance,,,,,,,,,14840.00,,,14840.00,1,MYCO - Myco,USD
OPS.CS,Consulting Services,ASSET,10.02.01,Accounts Receivable,,,,,,,Beginning Balance,,,,,,,,,843990.05,,,843990.05,1,MYCO - Myco,USD
OPS.DS,Digital Services,ASSET,10.02.01,Accounts Receivable,9/30/2020,CP,Customer Payment,0000000101,9/30/2020,FY20-12,,CUST-1-DOD,Customer 1,,,CUST-1-DOD,20.CONTENT-PRODUCTION.BY,Content Prod,,0.00,0.00,338310.02,-338310.02,1,MYCO - Myco,USD
OPS.DS,Digital Services,ASSET,10.02.01,Accounts Receivable,9/30/2020,CP,Customer Payment,0000000101,9/30/2020,FY20-12,,CUST-1-DOD,Customer 1,,,CUST-1-DOD,20.CONTENT-PRODUCTION.BY,Content Prod,,0.00,0.00,100000.00,-100000.00,1,MYCO - Myco,USD
OPS.DS,Digital Services,ASSET,10.02.01,Accounts Receivable,9/30/2020,CP,Customer Payment,0000000102,9/30/2020,FY20-12,,CUST-2-CIV,Customer 2,,,CUST-2-CIV,BIG-DATA.BY,Big Data,,0.00,0.00,85593.12,-85593.12,1,MYCO - Myco,USD
OPS.CS,Consulting Services,ASSET,10.02.01,Accounts Receivable,9/30/2020,CP,Customer Payment,0000000102,9/30/2020,FY20-12,,CUST-2-CIV,Customer 2,,,CUST-2-CIV,6.SPACE-STATION-BYR,Space Station,,0.00,0.00,182125.82,-182125.82,1,MYCO - Myco,USD
OPS.CS,Consulting Services,ASSET,10.02.01,Accounts Receivable,9/30/2020,CP,Customer Payment,0000000102,9/30/2020,FY20-12,,CUST-2-CIV,Customer 2,,,CUST-2-CIV,ERP-UPGRADE.BY,ERP Upgrade,,0.00,0.00,1656.22,-1656.22,1,MYCO - Myco,USD
OPS.CS,Consulting Services,ASSET,10.02.01,Accounts Receivable,9/30/2020,CP,Customer Payment,0000000102,9/30/2020,FY20-12,,CUST-2-CIV,Customer 2,,,CUST-2-CIV,PSA-UPGRADE.BY,PSA Upgrade,,0.00,0.00,28615.20,-28615.20,1,MYCO - Myco,USD
GS-CYBER,Cyber,ASSET,10.02.01,Accounts Receivable,9/30/2020,CP,Customer Payment,0000000102,9/30/2020,FY20-12,,CUST-2-CIV,Customer 2,,,CUST-2-CIV,30.10.2345.777.BY,CSD Solution,,0.00,0.00,46.78,-46.78,1,MYCO - Myco,USD
OPS.DS,Digital Services,ASSET,10.02.01,Accounts Receivable,9/30/2020,CP,Customer Payment,0000000103,9/30/2020,FY20-12,,CUST-1-DOD,Customer 1,,,CUST-1-DOD,20.CONTENT-PRODUCTION.BY,Content Prod,,0.00,0.00,100000.00,-100000.00,1,MYCO - Myco,USD
OPS.CS,Consulting Services,ASSET,10.02.01,Accounts Receivable,9/30/2020,CP,Customer Payment,0000000104,9/30/2020,FY20-12,,CUST-1-DOD,Customer 1,,,CUST-1-DOD,100.10.BYR,PMA 240 Support- Base Year,,0.00,0.00,70000.00,-70000.00,1,MYCO - Myco,USD
OPS.CS,Consulting Services,ASSET,10.02.01,Accounts Receivable,9/30/2020,CI,Invoice,UNANET-01114,9/30/2020,FY20-12,Invoice Complete - 9/30/2020,CUST-1-DOD,Customer 1,,,CUST-1-DOD,10.10.7011.102.BY,Software Dev,,0.00,20101.43,0.00,20101.43,1,MYCO - Myco,USD
OPS.CS,Consulting Services,ASSET,10.02.01,Accounts Receivable,9/30/2020,CI,Invoice,UNANET-01115,9/30/2020,FY20-12,Invoice Complete - 9/30/2020,CUST-1-DOD,Customer 1,,,CUST-1-DOD,100.10.BYR,PMA 240 Support- Base Year,,0.00,16051.77,0.00,16051.77,1,MYCO - Myco,USD
OPS.CS,Consulting Services,ASSET,10.02.01,Accounts Receivable,9/30/2020,CI,Invoice,UNANET-01116,9/30/2020,FY20-12,Invoice Complete - 9/30/2020,CUST-2-CIV,Customer 2,,,CUST-2-CIV,4.MARS-MISSION.BYR,Mars Mission,,0.00,366.00,0.00,366.00,1,MYCO - Myco,USD
OPS.CS,Consulting Services,ASSET,10.02.01,Accounts Receivable,9/30/2020,CI,Invoice,UNANET-01117,9/30/2020,FY20-12,Invoice Complete - 9/30/2020,CUST-2-CIV,Customer 2,,,CUST-2-CIV,6.SPACE-STATION-BYR,Space Station,,0.00,170397.60,0.00,170397.60,1,MYCO - Myco,USD
OPS.CS,Consulting Services,ASSET,10.02.01,Accounts Receivable,9/30/2020,CI,Invoice,UNANET-01118,9/30/2020,FY20-12,Invoice Complete - 9/30/2020,CUST-2-CIV,Customer 2,,,CUST-2-CIV,ERP-UPGRADE.BY,ERP Upgrade,,0.00,2113.18,0.00,2113.18,1,MYCO - Myco,USD
OPS.CS,Consulting Services,ASSET,10.02.01,Accounts Receivable,9/30/2020,CI,Invoice,UNANET-01119,9/30/2020,FY20-12,Invoice Complete - 9/30/2020,CUST-2-CIV,Customer 2,,,CUST-2-CIV,PSA-UPGRADE.BY,PSA Upgrade,,0.00,23846.00,0.00,23846.00,1,MYCO - Myco,USD
OPS.DS,Digital Services,ASSET,10.02.01,Accounts Receivable,9/30/2020,CI,Invoice,UNANET-01120,9/30/2020,FY20-12,Invoice Complete - 9/30/2020,CUST-1-DOD,Customer 1,,,CUST-1-DOD,20.CONTENT-PRODUCTION.OY1,Content Prod,,0.00,7000.00,0.00,7000.00,1,MYCO - Myco,USD
OPS.DS,Digital Services,ASSET,10.02.01,Accounts Receivable,9/30/2020,CI,Invoice,UNANET-01121,9/30/2020,FY20-12,Invoice Complete - 9/30/2020,CUST-1-DOD,Customer 1,,,CUST-1-DOD,20.CONTENT-PRODUCTION.BY,Content Prod,,0.00,359076.60,0.00,359076.60,1,MYCO - Myco,USD
OPS.DS,Digital Services,ASSET,10.02.01,Accounts Receivable,9/30/2020,CI,Invoice,UNANET-01122,9/30/2020,FY20-12,Invoice Complete - 9/30/2020,CUST-2-CIV,Customer 2,,,CUST-2-CIV,30.10.2345.777.BY,CSD Solution,,0.00,46.78,0.00,46.78,1,MYCO - Myco,USD
OPS.DS,Digital Services,ASSET,10.02.01,Accounts Receivable,9/30/2020,CI,Invoice,UNANET-01123,9/30/2020,FY20-12,Invoice Complete - 9/30/2020,CUST-2-CIV,Customer 2,,,CUST-2-CIV,BIG-DATA.BY,Big Data,,0.00,26573.56,0.00,26573.56,1,MYCO - Myco,USD
OPS.DS,Digital Services,ASSET,10.02.01,Accounts Receivable,9/30/2020,CI,Invoice,UNANET-01125,9/30/2020,FY20-12,Invoice Complete - 9/30/2020,CUST-6-COMM,Customer 6,,,CUST-6-COMM,300.10.2345.777.BY,CSD Solution,,0.00,10549.16,0.00,10549.16,1,MYCO - Myco,USD
MYCO,Myco,ASSET,10.03.01,Unbilled,,,,,,,Beginning Balance,,,,,,,,,43354.52,,,43354.52,1,MYCO - Myco,USD
MYCO,Myco,ASSET,10.03.01,Unbilled,9/30/2020,BR,Billing & Revenue Post,0000000284,9/30/2020,FY20-12,Billing Post - 9/30/2020,,,,,CUST-1-DOD,20.CONTENT-PRODUCTION.BY,Content Prod,,0.00,56298.82,0.00,56298.82,1,MYCO - Myco,USD
MYCO,Myco,ASSET,10.03.01,Unbilled,9/30/2020,BR,Billing & Revenue Post,0000000284,9/30/2020,FY20-12,Billing Post - 9/30/2020,,,,,CUST-1-DOD,10.10.7011.102.BY,Software Dev,,0.00,20101.43,0.00,20101.43,1,MYCO - Myco,USD
MYCO,Myco,ASSET,10.03.01,Unbilled,9/30/2020,BR,Billing & Revenue Post,0000000284,9/30/2020,FY20-12,Billing Post - 9/30/2020,,,,,CUST-1-DOD,100.10.BYR,PMA 240 Support- Base Year,,0.00,16051.77,0.00,16051.77,1,MYCO - Myco,USD
MYCO,Myco,ASSET,10.03.01,Unbilled,9/30/2020,BR,Billing & Revenue Post,0000000284,9/30/2020,FY20-12,Billing Post - 9/30/2020,,,,,CUST-1-DOD,20.HEALTH-IT.BY,Health IT,,0.00,277777.78,0.00,277777.78,1,MYCO - Myco,USD
MYCO,Myco,ASSET,10.03.01,Unbilled,9/30/2020,BR,Billing & Revenue Post,0000000284,9/30/2020,FY20-12,Billing Post - 9/30/2020,,,,,CUST-1-DOD,20.HELP-DESK.BY,Help Desk,,0.00,7000.00,0.00,7000.00,1,MYCO - Myco,USD
MYCO,Myco,ASSET,10.03.01,Unbilled,9/30/2020,BR,Billing & Revenue Post,0000000284,9/30/2020,FY20-12,Billing Post - 9/30/2020,,,,,CUST-1-DOD,20.STUDY-X.BY,Phase III followup for asbestos exposure for Navy service members,,0.00,25000.00,0.00,25000.00,1,MYCO - Myco,USD
MYCO,Myco,ASSET,10.03.01,Unbilled,9/30/2020,BR,Billing & Revenue Post,0000000284,9/30/2020,FY20-12,Billing Post - 9/30/2020,,,,,CUST-2-CIV,4.MARS-MISSION.BYR,Mars Mission,,0.00,366.00,0.00,366.00,1,MYCO - Myco,USD
MYCO,Myco,ASSET,10.03.01,Unbilled,9/30/2020,BR,Billing & Revenue Post,0000000284,9/30/2020,FY20-12,Billing Post - 9/30/2020,,,,,CUST-2-CIV,6.SPACE-STATION-BYR,Space Station,,0.00,170397.60,0.00,170397.60,1,MYCO - Myco,USD
MYCO,Myco,ASSET,10.03.01,Unbilled,9/30/2020,BR,Billing & Revenue Post,0000000284,9/30/2020,FY20-12,Billing Post - 9/30/2020,,,,,CUST-2-CIV,ERP-UPGRADE.BY,ERP Upgrade,,0.00,2113.18,0.00,2113.18,1,MYCO - Myco,USD
MYCO,Myco,ASSET,10.03.01,Unbilled,9/30/2020,BR,Billing & Revenue Post,0000000284,9/30/2020,FY20-12,Billing Post - 9/30/2020,,,,,CUST-2-CIV,BIG-DATA.BY,Big Data,,0.00,26573.56,0.00,26573.56,1,MYCO - Myco,USD
MYCO,Myco,ASSET,10.03.01,Unbilled,9/30/2020,BR,Billing & Revenue Post,0000000284,9/30/2020,FY20-12,Billing Post - 9/30/2020,,,,,CUST-2-CIV,PSA-UPGRADE.BY,PSA Upgrade,,0.00,23846.00,0.00,23846.00,1,MYCO - Myco,USD
MYCO,Myco,ASSET,10.03.01,Unbilled,9/30/2020,BR,Billing & Revenue Post,0000000284,9/30/2020,FY20-12,Billing Post - 9/30/2020,,,,,CUST-2-CIV,30.10.2345.777.BY,CSD Solution,,0.00,46.78,0.00,46.78,1,MYCO - Myco,USD
MYCO,Myco,ASSET,10.03.01,Unbilled,9/30/2020,BR,Billing & Revenue Post,0000000286,9/30/2020,FY20-12,Billing Post - 9/30/2020,,,,,CUST-6-COMM,300.10.2345.777.BY,CSD Solution,,0.00,10549.16,0.00,10549.16,1,MYCO - Myco,USD
MYCO,Myco,ASSET,10.03.01,Unbilled,9/30/2020,BR,Billing & Revenue Post,0000000310,9/30/2020,FY20-12,Billing Post - 9/30/2020,,,,,CUST-1-DOD,100.10.BYR,PMA 240 Support- Base Year,,0.00,0.00,0.00,0.00,1,MYCO - Myco,USD
MYCO,Myco,ASSET,10.03.01,Unbilled,9/30/2020,BR,Billing & Revenue Post,0000000311,9/30/2020,FY20-12,Billing Post - 9/30/2020,,,,,CUST-1-DOD,100.10.BYR,PMA 240 Support- Base Year,,0.00,0.00,10548.80,-10548.80,1,MYCO - Myco,USD
MYCO,Myco,ASSET,10.03.01,Unbilled,9/30/2020,CI,Invoice,UNANET-01114,9/30/2020,FY20-12,Invoice Complete - 9/30/2020,,,,,CUST-1-DOD,10.10.7011.102.BY,Software Dev,,0.00,0.00,20101.43,-20101.43,1,MYCO - Myco,USD
MYCO,Myco,ASSET,10.03.01,Unbilled,9/30/2020,CI,Invoice,UNANET-01115,9/30/2020,FY20-12,Invoice Complete - 9/30/2020,,,,,CUST-1-DOD,100.10.BYR,PMA 240 Support- Base Year,,0.00,0.00,16051.77,-16051.77,1,MYCO - Myco,USD
MYCO,Myco,ASSET,10.03.01,Unbilled,9/30/2020,CI,Invoice,UNANET-01116,9/30/2020,FY20-12,Invoice Complete - 9/30/2020,,,,,CUST-2-CIV,4.MARS-MISSION.BYR,Mars Mission,,0.00,0.00,366.00,-366.00,1,MYCO - Myco,USD
MYCO,Myco,ASSET,10.03.01,Unbilled,9/30/2020,CI,Invoice,UNANET-01117,9/30/2020,FY20-12,Invoice Complete - 9/30/2020,,,,,CUST-2-CIV,6.SPACE-STATION-BYR,Space Station,,0.00,0.00,170397.60,-170397.60,1,MYCO - Myco,USD
MYCO,Myco,ASSET,10.03.01,Unbilled,9/30/2020,CI,Invoice,UNANET-01118,9/30/2020,FY20-12,Invoice Complete - 9/30/2020,,,,,CUST-2-CIV,ERP-UPGRADE.BY,ERP Upgrade,,0.00,0.00,2113.18,-2113.18,1,MYCO - Myco,USD
MYCO,Myco,ASSET,10.03.01,Unbilled,9/30/2020,CI,Invoice,UNANET-01119,9/30/2020,FY20-12,Invoice Complete - 9/30/2020,,,,,CUST-2-CIV,PSA-UPGRADE.BY,PSA Upgrade,,0.00,0.00,23846.00,-23846.00,1,MYCO - Myco,USD
MYCO,Myco,ASSET,10.03.01,Unbilled,9/30/2020,CI,Invoice,UNANET-01120,9/30/2020,FY20-12,Invoice Complete - 9/30/2020,,,,,CUST-1-DOD,20.HELP-DESK.BY,Help Desk,,0.00,0.00,7000.00,-7000.00,1,MYCO - Myco,USD
MYCO,Myco,ASSET,10.03.01,Unbilled,9/30/2020,CI,Invoice,UNANET-01121,9/30/2020,FY20-12,Invoice Complete - 9/30/2020,,,,,CUST-1-DOD,20.HEALTH-IT.BY,Health IT,,0.00,0.00,277777.78,-277777.78,1,MYCO - Myco,USD
MYCO,Myco,ASSET,10.03.01,Unbilled,9/30/2020,CI,Invoice,UNANET-01121,9/30/2020,FY20-12,Invoice Complete - 9/30/2020,,,,,CUST-1-DOD,20.STUDY-X.BY,Phase III followup for asbestos exposure for Navy service members,,0.00,0.00,25000.00,-25000.00,1,MYCO - Myco,USD
MYCO,Myco,ASSET,10.03.01,Unbilled,9/30/2020,CI,Invoice,UNANET-01121,9/30/2020,FY20-12,Invoice Complete - 9/30/2020,,,,,CUST-1-DOD,20.CONTENT-PRODUCTION.BY,Content Prod,,0.00,0.00,56298.82,-56298.82,1,MYCO - Myco,USD
MYCO,Myco,ASSET,10.03.01,Unbilled,9/30/2020,CI,Invoice,UNANET-01122,9/30/2020,FY20-12,Invoice Complete - 9/30/2020,,,,,CUST-2-CIV,30.10.2345.777.BY,CSD Solution,,0.00,0.00,46.78,-46.78,1,MYCO - Myco,USD
MYCO,Myco,ASSET,10.03.01,Unbilled,9/30/2020,CI,Invoice,UNANET-01123,9/30/2020,FY20-12,Invoice Complete - 9/30/2020,,,,,CUST-2-CIV,BIG-DATA.BY,Big Data,,0.00,0.00,26573.56,-26573.56,1,MYCO - Myco,USD
MYCO,Myco,ASSET,10.03.01,Unbilled,9/30/2020,CI,Invoice,UNANET-01125,9/30/2020,FY20-12,Invoice Complete - 9/30/2020,,,,,CUST-6-COMM,300.10.2345.777.BY,CSD Solution,,0.00,0.00,10549.16,-10549.16,1,MYCO - Myco,USD
MYCO,Myco,ASSET,10.06.06,Furniture & Equipment,,,,,,,Beginning Balance,,,,,,,,,5000.00,,,5000.00,1,MYCO - Myco,USD
MYCO,Myco,ASSET,10.06.13,Acc Dep - Furn & Equip,,,,,,,Beginning Balance,,,,,,,,,-2499.90,,,-2499.90,1,MYCO - Myco,USD
MYCO,Myco,ASSET,10.06.13,Acc Dep - Furn & Equip,9/30/2020,BR,Billing & Revenue Post,0000000280,9/30/2020,FY20-12,Billing Post - 9/30/2020,,,,,CUST-1-DOD,FIXED-ASSETS,Fixed Assets,,0.00,0.00,83.33,-83.33,1,MYCO - Myco,USD
MYCO,Myco,LIABILITY,20.03.01,Accounts Payable,,,,,,,Beginning Balance,,,,,,,,,111015.34,,,111015.34,2,MYCO - Myco,USD
MYCO,Myco,LIABILITY,20.03.01,Accounts Payable,9/30/2020,VP,Vendor Payment,0000000286,9/30/2020,FY20-12,,E-CUSER4,Charlie User,,,,,,,0.00,804.50,0.00,-804.50,2,MYCO - Myco,USD
MYCO,Myco,LIABILITY,20.03.01,Accounts Payable,9/30/2020,VP,Vendor Payment,0000000286,9/30/2020,FY20-12,,E-CUSER4,Charlie User,,,,,,,0.00,110.00,0.00,-110.00,2,MYCO - Myco,USD
MYCO,Myco,LIABILITY,20.03.01,Accounts Payable,9/30/2020,VP,Vendor Payment,0000000286,9/30/2020,FY20-12,,E-CUSER4,Charlie User,,,,,,,0.00,804.50,0.00,-804.50,2,MYCO - Myco,USD
MYCO,Myco,LIABILITY,20.03.01,Accounts Payable,9/30/2020,VP,Vendor Payment,0000000287,9/30/2020,FY20-12,,E-FCONTROLLER,Frank Controller,,,,,,,0.00,248.22,0.00,-248.22,2,MYCO - Myco,USD
MYCO,Myco,LIABILITY,20.03.01,Accounts Payable,9/30/2020,VP,Vendor Payment,0000000287,9/30/2020,FY20-12,,E-FCONTROLLER,Frank Controller,,,,,,,0.00,271.50,0.00,-271.50,2,MYCO - Myco,USD
MYCO,Myco,LIABILITY,20.03.01,Accounts Payable,9/30/2020,VP,Vendor Payment,0000000288,9/30/2020,FY20-12,,V-CIGNA,Cigna Healthcare,,,,,,,0.00,2700.00,0.00,-2700.00,2,MYCO - Myco,USD
MYCO,Myco,LIABILITY,20.03.01,Accounts Payable,9/30/2020,VP,Vendor Payment,0000000289,9/30/2020,FY20-12,,V-DUN&BRADSTREET,Dun & Bradstreet Credibility Corp,,,,,,,0.00,150.00,0.00,-150.00,2,MYCO - Myco,USD
MYCO,Myco,LIABILITY,20.03.01,Accounts Payable,9/30/2020,VP,Vendor Payment,0000000290,9/30/2020,FY20-12,,V-HIRENOW,Hire Now,,,,,,,0.00,15500.00,0.00,-15500.00,2,MYCO - Myco,USD
MYCO,Myco,LIABILITY,20.03.01,Accounts Payable,9/30/2020,VP,Vendor Payment,0000000291,9/30/2020,FY20-12,,V-JOELANDLORD,Landlord Joe,,,,,,,0.00,7000.00,0.00,-7000.00,2,MYCO - Myco,USD
MYCO,Myco,LIABILITY,20.03.01,Accounts Payable,9/30/2020,VP,Vendor Payment,0000000292,9/30/2020,FY20-12,,V-MATERIALINC,Materials Incorporated,,,,,,,0.00,5000.00,0.00,-5000.00,2,MYCO - Myco,USD
MYCO,Myco,LIABILITY,20.03.01,Accounts Payable,9/30/2020,VP,Vendor Payment,0000000293,9/30/2020,FY20-12,,V-SDG&E,San Diego Gas & Electric,,,,,,,0.00,500.00,0.00,-500.00,2,MYCO - Myco,USD
MYCO,Myco,LIABILITY,20.03.01,Accounts Payable,9/30/2020,VP,Vendor Payment,0000000293,9/30/2020,FY20-12,,V-SDG&E,San Diego Gas & Electric,,,,,,,0.00,500.00,0.00,-500.00,2,MYCO - Myco,USD
MYCO,Myco,LIABILITY,20.03.01,Accounts Payable,9/30/2020,VI,Vendor Invoice,0000000780,9/30/2020,FY20-12,,V-MATERIALINC,Materials Incorporated,,12345,,,,,0.00,0.00,5000.00,5000.00,2,MYCO - Myco,USD
MYCO,Myco,LIABILITY,20.03.01,Accounts Payable,9/30/2020,VI,Vendor Invoice,0000000781,9/30/2020,FY20-12,,V-SDG&E,San Diego Gas & Electric,,Electric,,,,,0.00,0.00,500.00,500.00,2,MYCO - Myco,USD
MYCO,Myco,LIABILITY,20.03.01,Accounts Payable,9/30/2020,VI,Vendor Invoice,0000000782,9/30/2020,FY20-12,,V-JOELANDLORD,Landlord Joe,,Rent,,,,,0.00,0.00,7000.00,7000.00,2,MYCO - Myco,USD
MYCO,Myco,LIABILITY,20.03.01,Accounts Payable,9/30/2020,VI,Vendor Invoice,0000000783,9/30/2020,FY20-12,Credit Check Run,V-DUN&BRADSTREET,Dun & Bradstreet Credibility Corp,,12345,,,,,0.00,0.00,150.00,150.00,2,MYCO - Myco,USD
MYCO,Myco,LIABILITY,20.03.01,Accounts Payable,9/30/2020,VI,Vendor Invoice,0000000784,9/30/2020,FY20-12,,V-CIGNA,Cigna Healthcare,,Healthcare,,,,,0.00,0.00,2700.00,2700.00,2,MYCO - Myco,USD
MYCO,Myco,LIABILITY,20.03.01,Accounts Payable,9/30/2020,VI,Vendor Invoice,0000000785,9/30/2020,FY20-12,Placement Fee,V-HIRENOW,Hire Now,,1256,,,,,0.00,0.00,15500.00,15500.00,2,MYCO - Myco,USD
MYCO,Myco,LIABILITY,20.03.01,Accounts Payable,9/30/2020,VI,Vendor Invoice,0000000786,9/30/2020,FY20-12,Expense Report,E-CUSER4,Charlie User,,521,,,,,0.00,0.00,3365.00,3365.00,2,MYCO - Myco,USD
MYCO,Myco,LIABILITY,20.03.01,Accounts Payable,9/30/2020,VI,Vendor Invoice,0000000787,9/30/2020,FY20-12,Expense Report,E-CUSER4,Charlie User,,523,,,,,0.00,0.00,1865.00,1865.00,2,MYCO - Myco,USD
MYCO,Myco,LIABILITY,20.03.01,Accounts Payable,9/30/2020,VI,Vendor Invoice,0000000788,9/30/2020,FY20-12,Expense Report,E-GWASHINGTON,George Washington,,518,,,,,0.00,0.00,27.12,27.12,2,MYCO - Myco,USD
MYCO,Myco,LIABILITY,20.03.01,Accounts Payable,9/30/2020,VI,Vendor Invoice,0000000789,9/30/2020,FY20-12,Expense Report,E-GWASHINGTON,George Washington,,519,,,,,0.00,0.00,567.12,567.12,2,MYCO - Myco,USD
MYCO,Myco,LIABILITY,20.03.01,Accounts Payable,9/30/2020,VI,Vendor Invoice,0000000790,9/30/2020,FY20-12,Expense Report,E-FCONTROLLER,Frank Controller,,516,,,,,0.00,0.00,232.00,232.00,2,MYCO - Myco,USD
MYCO,Myco,LIABILITY,20.03.01,Accounts Payable,9/30/2020,VI,Vendor Invoice,0000000791,9/30/2020,FY20-12,Expense Report,E-FCONTROLLER,Frank Controller,,513,,,,,0.00,0.00,423.22,423.22,2,MYCO - Myco,USD
MYCO,Myco,LIABILITY,20.03.01,Accounts Payable,9/30/2020,VI,Vendor Invoice,0000000830,9/30/2020,FY20-12,Expense Report,E-CUSER4,Charlie User,,520,,,,,0.00,0.00,743.51,743.51,2,MYCO - Myco,USD
MYCO,Myco,LIABILITY,20.03.01,Accounts Payable,9/30/2020,VI,Vendor Invoice,0000000831,9/30/2020,FY20-12,Expense Report,E-CUSER4,Charlie User,,522,,,,,0.00,0.00,110.00,110.00,2,MYCO - Myco,USD
MYCO,Myco,LIABILITY,20.03.01,Accounts Payable,9/30/2020,VI,Vendor Invoice,0000000832,9/30/2020,FY20-12,Expense Report,E-CUSER4,Charlie User,,529,,,,,0.00,0.00,743.51,743.51,2,MYCO - Myco,USD
MYCO,Myco,LIABILITY,20.03.01,Accounts Payable,9/30/2020,VI,Vendor Invoice,0000000833,9/30/2020,FY20-12,Expense Report,E-CUSER4,Charlie User,,531,,,,,0.00,0.00,110.00,110.00,2,MYCO - Myco,USD
MYCO,Myco,LIABILITY,20.03.01,Accounts Payable,9/30/2020,VI,Vendor Invoice,0000000834,9/30/2020,FY20-12,Expense Report,E-CUSER4,Charlie User,,545,,,,,0.00,0.00,715.78,715.78,2,MYCO - Myco,USD
