ProjectOwningOrg,ProjectOrg,Project,BillType,BillingStatus,Task,Category,DocType,DocumentNumber/ExpenseReportNumber,CostElement,Person,Vendor/Customer,ItemDate,Quantity,InvoiceNumber,JournalDate,BillingCurrency,AmountInBillingCurrency
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1. Project Support,Business Meals,ER,505,Fee on Total ODC,"Controller, Frank T.",,8/9/2020,,UNANET-01106,8/31/2020,USD,2.02
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1. Project Support,Business Meals,ER,505,G&A,"Controller, Frank T.",,8/9/2020,,UNANET-01106,8/31/2020,USD,6.86
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1. Project Support,Business Meals,ER,511,Expense reports,"User4, Charlie",,8/3/2020,,UNANET-01106,8/31/2020,USD,2.00
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1. Project Support,Business Meals,ER,511,Fee on Total ODC,"User4, Charlie",,8/3/2020,,UNANET-01106,8/31/2020,USD,0.06
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1. Project Support,Business Meals,ER,511,G&A,"User4, Charlie",,8/3/2020,,UNANET-01106,8/31/2020,USD,0.20
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1. Project Support,Lodging Over Per Diem,ER,510,Expense reports,"User4, Charlie",,8/10/2020,,UNANET-01106,8/31/2020,USD,273.00
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1. Project Support,Lodging Over Per Diem,ER,510,Fee on Total ODC,"User4, Charlie",,8/10/2020,,UNANET-01106,8/31/2020,USD,8.19
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1. Project Support,Lodging Over Per Diem,ER,510,G&A,"User4, Charlie",,8/10/2020,,UNANET-01106,8/31/2020,USD,27.85
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1. Project Support,Lodging Per Diem,ER,510,Expense reports,"User4, Charlie",,8/10/2020,,UNANET-01106,8/31/2020,USD,"1,092.00"
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1. Project Support,Lodging Per Diem,ER,510,Fee on Total ODC,"User4, Charlie",,8/10/2020,,UNANET-01106,8/31/2020,USD,32.76
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1. Project Support,Lodging Per Diem,ER,510,G&A,"User4, Charlie",,8/10/2020,,UNANET-01106,8/31/2020,USD,111.38
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1. Project Support,Materials,ER,507,Fee on Total ODC,"Controller, Frank T.",,8/10/2020,,UNANET-01106,8/31/2020,USD,4.68
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1. Project Support,Materials,ER,507,G&A,"Controller, Frank T.",,8/10/2020,,UNANET-01106,8/31/2020,USD,15.91
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1. Project Support,Materials,ER,507,MATERIALS,"Controller, Frank T.",,8/10/2020,,UNANET-01106,8/31/2020,USD,156.00
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1. Project Support,Materials,ER,510,Fee on Total ODC,"User4, Charlie",,8/2/2020,,UNANET-01106,8/31/2020,USD,22.50
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1. Project Support,Materials,ER,510,G&A,"User4, Charlie",,8/2/2020,,UNANET-01106,8/31/2020,USD,76.50
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1. Project Support,Materials,ER,510,MATERIALS,"User4, Charlie",,8/2/2020,,UNANET-01106,8/31/2020,USD,750.00
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1. Project Support,Rental Car,ER,507,Expense reports,"Controller, Frank T.",,8/3/2020,,UNANET-01106,8/31/2020,USD,300.00
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1. Project Support,Rental Car,ER,507,Fee on Total ODC,"Controller, Frank T.",,8/3/2020,,UNANET-01106,8/31/2020,USD,9.00
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1. Project Support,Rental Car,ER,507,G&A,"Controller, Frank T.",,8/3/2020,,UNANET-01106,8/31/2020,USD,30.60
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1. Project Support,Rental Car,ER,511,Expense reports,"User4, Charlie",,8/3/2020,,UNANET-01106,8/31/2020,USD,20.00
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1. Project Support,Rental Car,ER,511,Fee on Total ODC,"User4, Charlie",,8/3/2020,,UNANET-01106,8/31/2020,USD,0.60
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1. Project Support,Rental Car,ER,511,G&A,"User4, Charlie",,8/3/2020,,UNANET-01106,8/31/2020,USD,2.04
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1. Project Support,SWIFT-Program Manager (CS),TS,,Fee on Total Labor,"Director, Chris S.",,8/7/2020,,UNANET-01106,8/31/2020,USD,30.43
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1. Project Support,SWIFT-Program Manager (CS),TS,,Fringe Company Site,"Director, Chris S.",,8/7/2020,,UNANET-01106,8/31/2020,USD,127.42
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1. Project Support,SWIFT-Program Manager (CS),TS,,G&A,"Director, Chris S.",,8/7/2020,,UNANET-01106,8/31/2020,USD,71.48
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1. Project Support,SWIFT-Program Manager (CS),TS,,Overhead Company Site,"Director, Chris S.",,8/7/2020,,UNANET-01106,8/31/2020,USD,192.96
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1. Project Support,SWIFT-Program Manager (CS),TS,,Direct Labor,"Director, Chris S.",,8/7/2020,8,UNANET-01106,8/31/2020,USD,380.37
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1. Project Support,SWIFT-Program Manager (CS),TS,,Fee on Total Labor,"Director, Chris S.",,8/22/2020,,UNANET-01106,8/31/2020,USD,28.83
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1. Project Support,SWIFT-Program Manager (CS),TS,,Fringe Company Site,"Director, Chris S.",,8/22/2020,,UNANET-01106,8/31/2020,USD,120.72
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1. Project Support,SWIFT-Program Manager (CS),TS,,G&A,"Director, Chris S.",,8/22/2020,,UNANET-01106,8/31/2020,USD,67.72
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1. Project Support,SWIFT-Program Manager (CS),TS,,Overhead Company Site,"Director, Chris S.",,8/22/2020,,UNANET-01106,8/31/2020,USD,182.81
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1. Project Support,SWIFT-Program Manager (CS),TS,,Direct Labor,"Director, Chris S.",,8/22/2020,8,UNANET-01106,8/31/2020,USD,360.35
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1. Project Support,Supplies / ODCs,ER,510,Fee on Total ODC,"User4, Charlie",,8/8/2020,,UNANET-01106,8/31/2020,USD,22.50
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1. Project Support,Supplies / ODCs,ER,510,G&A,"User4, Charlie",,8/8/2020,,UNANET-01106,8/31/2020,USD,76.50
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1. Project Support,Supplies / ODCs,ER,510,OTHER,"User4, Charlie",,8/8/2020,,UNANET-01106,8/31/2020,USD,750.00
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1.3. Configuration Management,*Business Analyst,TS,,Fee on Total Labor,"User4, Charlie",,8/3/2020,,UNANET-01106,8/31/2020,USD,4.81
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1.3. Configuration Management,*Business Analyst,TS,,Fringe Client Site,"User4, Charlie",,8/3/2020,,UNANET-01106,8/31/2020,USD,20.13
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1.3. Configuration Management,*Business Analyst,TS,,G&A,"User4, Charlie",,8/3/2020,,UNANET-01106,8/31/2020,USD,8.70
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1.3. Configuration Management,*Business Analyst,TS,,Overhead Client Site.,"User4, Charlie",,8/3/2020,,UNANET-01106,8/31/2020,USD,5.13
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1.3. Configuration Management,*Business Analyst,TS,,Direct Labor,"User4, Charlie",,8/3/2020,2,UNANET-01106,8/31/2020,USD,60.08
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1.3. Configuration Management,*Business Analyst,TS,,Fee on Total Labor,"User4, Charlie",,8/4/2020,,UNANET-01106,8/31/2020,USD,12.02
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1.3. Configuration Management,*Business Analyst,TS,,Fringe Client Site,"User4, Charlie",,8/4/2020,,UNANET-01106,8/31/2020,USD,50.32
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1.3. Configuration Management,*Business Analyst,TS,,G&A,"User4, Charlie",,8/4/2020,,UNANET-01106,8/31/2020,USD,21.76
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1.3. Configuration Management,*Business Analyst,TS,,Overhead Client Site.,"User4, Charlie",,8/4/2020,,UNANET-01106,8/31/2020,USD,12.83
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1.3. Configuration Management,*Business Analyst,TS,,Direct Labor,"User4, Charlie",,8/4/2020,5,UNANET-01106,8/31/2020,USD,150.21
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1.3. Configuration Management,*Business Analyst,TS,,Fee on Total Labor,"User4, Charlie",,8/5/2020,,UNANET-01106,8/31/2020,USD,2.40
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1.3. Configuration Management,*Business Analyst,TS,,Fringe Client Site,"User4, Charlie",,8/5/2020,,UNANET-01106,8/31/2020,USD,10.06
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1.3. Configuration Management,*Business Analyst,TS,,G&A,"User4, Charlie",,8/5/2020,,UNANET-01106,8/31/2020,USD,4.35
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1.3. Configuration Management,*Business Analyst,TS,,Overhead Client Site.,"User4, Charlie",,8/5/2020,,UNANET-01106,8/31/2020,USD,2.57
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1.3. Configuration Management,*Business Analyst,TS,,Direct Labor,"User4, Charlie",,8/5/2020,1,UNANET-01106,8/31/2020,USD,30.04
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1.3. Configuration Management,*Business Analyst,TS,,Fee on Total Labor,"User4, Charlie",,8/10/2020,,UNANET-01106,8/31/2020,USD,4.81
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1.3. Configuration Management,*Business Analyst,TS,,Fringe Client Site,"User4, Charlie",,8/10/2020,,UNANET-01106,8/31/2020,USD,20.13
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1.3. Configuration Management,*Business Analyst,TS,,G&A,"User4, Charlie",,8/10/2020,,UNANET-01106,8/31/2020,USD,8.70
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1.3. Configuration Management,*Business Analyst,TS,,Overhead Client Site.,"User4, Charlie",,8/10/2020,,UNANET-01106,8/31/2020,USD,5.13
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1.3. Configuration Management,*Business Analyst,TS,,Direct Labor,"User4, Charlie",,8/10/2020,2,UNANET-01106,8/31/2020,USD,60.08
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1.3. Configuration Management,*Business Analyst,TS,,Fee on Total Labor,"User4, Charlie",,8/11/2020,,UNANET-01106,8/31/2020,USD,12.02
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1.3. Configuration Management,*Business Analyst,TS,,Fringe Client Site,"User4, Charlie",,8/11/2020,,UNANET-01106,8/31/2020,USD,50.32
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1.3. Configuration Management,*Business Analyst,TS,,G&A,"User4, Charlie",,8/11/2020,,UNANET-01106,8/31/2020,USD,21.76
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1.3. Configuration Management,*Business Analyst,TS,,Overhead Client Site.,"User4, Charlie",,8/11/2020,,UNANET-01106,8/31/2020,USD,12.83
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1.3. Configuration Management,*Business Analyst,TS,,Direct Labor,"User4, Charlie",,8/11/2020,5,UNANET-01106,8/31/2020,USD,150.21
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Billed,1.3. Configuration Management,*Business Analyst,TS,,Fee on Total Labor,"User4, Charlie",,8/12/2020,,UNANET-01106,8/31/2020,USD,2.40
