DocumentNumber,JournalDate,PostedToGL,AccountCode,AccountDescription,OrgCode,OrgName,ProjectOrg,Project,Task,Category,BaseCostElement,CostElement,CustomVendor,Person,SecureDocumentType,SecureDocumentNumber,ItemDate,Quantity,BillingCurrency,Rate,DebitInBillingCurrency,CreditInBillingCurrency,ExtractDate
UNANET-01106,8/31/2020,Y,10.02.01,Accounts Receivable,OPS.CS,Consulting Services,CUST-1-DOD,10.10.7011.102.BY,1. Project Support,*Systems Engineer,Direct Labor,Fringe Client Site,,"User5, Clark A.",,,8/2/2020,,USD,,112.14,0.00,
UNANET-01106,8/31/2020,Y,10.02.01,Accounts Receivable,OPS.CS,Consulting Services,CUST-1-DOD,10.10.7011.102.BY,1. Project Support,*Systems Engineer,Direct Labor,Fringe Client Site,,"User5, Clark A.",,,8/5/2020,,USD,,112.14,0.00,
UNANET-01106,8/31/2020,Y,10.02.01,Accounts Receivable,OPS.CS,Consulting Services,CUST-1-DOD,10.10.7011.102.BY,1. Project Support,*Systems Engineer,Direct Labor,Fringe Client Site,,"User5, Clark A.",,,8/10/2020,,USD,,112.14,0.00,
UNANET-01106,8/31/2020,Y,10.02.01,Accounts Receivable,OPS.CS,Consulting Services,CUST-1-DOD,10.10.7011.102.BY,1. Project Support,*Systems Engineer,Direct Labor,Fringe Client Site,,"User5, Clark A.",,,8/13/2020,,USD,,112.14,0.00,
UNANET-01106,8/31/2020,Y,10.02.01,Accounts Receivable,OPS.CS,Consulting Services,CUST-1-DOD,10.10.7011.102.BY,1. Project Support,*Systems Engineer,Direct Labor,Fringe Client Site,,"User5, Clark A.",,,8/17/2020,,USD,,106.80,0.00,
UNANET-01106,8/31/2020,Y,10.02.01,Accounts Receivable,OPS.CS,Consulting Services,CUST-1-DOD,10.10.7011.102.BY,1. Project Support,*Systems Engineer,Direct Labor,Fringe Client Site,,"User5, Clark A.",,,8/21/2020,,USD,,106.80,0.00,
UNANET-01106,8/31/2020,Y,10.02.01,Accounts Receivable,OPS.CS,Consulting Services,CUST-1-DOD,10.10.7011.102.BY,1. Project Support,*Systems Engineer,Direct Labor,Fringe Client Site,,"User5, Clark A.",,,8/25/2020,,USD,,106.80,0.00,
UNANET-01106,8/31/2020,Y,10.02.01,Accounts Receivable,OPS.CS,Consulting Services,CUST-1-DOD,10.10.7011.102.BY,1. Project Support,*Systems Engineer,Direct Labor,Fringe Client Site,,"User5, Clark A.",,,8/29/2020,,USD,,106.80,0.00,
UNANET-01106,8/31/2020,Y,10.02.01,Accounts Receivable,OPS.CS,Consulting Services,CUST-1-DOD,10.10.7011.102.BY,1. Project Support,*Systems Engineer,Direct Labor,G&A,,"User5, Clark A.",,,8/2/2020,,USD,,48.50,0.00,
UNANET-01106,8/31/2020,Y,10.02.01,Accounts Receivable,OPS.CS,Consulting Services,CUST-1-DOD,10.10.7011.102.BY,1. Project Support,*Systems Engineer,Direct Labor,G&A,,"User5, Clark A.",,,8/5/2020,,USD,,48.50,0.00,
UNANET-01106,8/31/2020,Y,10.02.01,Accounts Receivable,OPS.CS,Consulting Services,CUST-1-DOD,10.10.7011.102.BY,1. Project Support,*Systems Engineer,Direct Labor,G&A,,"User5, Clark A.",,,8/10/2020,,USD,,48.50,0.00,
UNANET-01106,8/31/2020,Y,10.02.01,Accounts Receivable,OPS.CS,Consulting Services,CUST-1-DOD,10.10.7011.102.BY,1. Project Support,*Systems Engineer,Direct Labor,G&A,,"User5, Clark A.",,,8/13/2020,,USD,,48.50,0.00,
UNANET-01106,8/31/2020,Y,10.02.01,Accounts Receivable,OPS.CS,Consulting Services,CUST-1-DOD,10.10.7011.102.BY,1. Project Support,*Systems Engineer,Direct Labor,G&A,,"User5, Clark A.",,,8/17/2020,,USD,,46.19,0.00,
UNANET-01106,8/31/2020,Y,10.02.01,Accounts Receivable,OPS.CS,Consulting Services,CUST-1-DOD,10.10.7011.102.BY,1. Project Support,*Systems Engineer,Direct Labor,G&A,,"User5, Clark A.",,,8/21/2020,,USD,,46.19,0.00,
UNANET-01106,8/31/2020,Y,10.02.01,Accounts Receivable,OPS.CS,Consulting Services,CUST-1-DOD,10.10.7011.102.BY,1. Project Support,*Systems Engineer,Direct Labor,G&A,,"User5, Clark A.",,,8/25/2020,,USD,,46.19,0.00,
UNANET-01106,8/31/2020,Y,10.02.01,Accounts Receivable,OPS.CS,Consulting Services,CUST-1-DOD,10.10.7011.102.BY,1. Project Support,*Systems Engineer,Direct Labor,G&A,,"User5, Clark A.",,,8/29/2020,,USD,,46.19,0.00,
UNANET-01106,8/31/2020,Y,10.02.01,Accounts Receivable,OPS.CS,Consulting Services,CUST-1-DOD,10.10.7011.102.BY,1. Project Support,*Systems Engineer,Direct Labor,Overhead Client Site.,,"User5, Clark A.",,,8/2/2020,,USD,,28.60,0.00,
UNANET-01106,8/31/2020,Y,10.02.01,Accounts Receivable,OPS.CS,Consulting Services,CUST-1-DOD,10.10.7011.102.BY,1. Project Support,*Systems Engineer,Direct Labor,Overhead Client Site.,,"User5, Clark A.",,,8/5/2020,,USD,,28.60,0.00,
UNANET-01106,8/31/2020,Y,10.02.01,Accounts Receivable,OPS.CS,Consulting Services,CUST-1-DOD,10.10.7011.102.BY,1. Project Support,*Systems Engineer,Direct Labor,Overhead Client Site.,,"User5, Clark A.",,,8/10/2020,,USD,,28.60,0.00,
UNANET-01106,8/31/2020,Y,10.02.01,Accounts Receivable,OPS.CS,Consulting Services,CUST-1-DOD,10.10.7011.102.BY,1. Project Support,*Systems Engineer,Direct Labor,Overhead Client Site.,,"User5, Clark A.",,,8/13/2020,,USD,,28.60,0.00,
UNANET-01106,8/31/2020,Y,10.02.01,Accounts Receivable,OPS.CS,Consulting Services,CUST-1-DOD,10.10.7011.102.BY,1. Project Support,*Systems Engineer,Direct Labor,Overhead Client Site.,,"User5, Clark A.",,,8/17/2020,,USD,,27.24,0.00,
UNANET-01106,8/31/2020,Y,10.02.01,Accounts Receivable,OPS.CS,Consulting Services,CUST-1-DOD,10.10.7011.102.BY,1. Project Support,*Systems Engineer,Direct Labor,Overhead Client Site.,,"User5, Clark A.",,,8/21/2020,,USD,,27.24,0.00,
UNANET-01106,8/31/2020,Y,10.02.01,Accounts Receivable,OPS.CS,Consulting Services,CUST-1-DOD,10.10.7011.102.BY,1. Project Support,*Systems Engineer,Direct Labor,Overhead Client Site.,,"User5, Clark A.",,,8/25/2020,,USD,,27.24,0.00,
UNANET-01106,8/31/2020,Y,10.02.01,Accounts Receivable,OPS.CS,Consulting Services,CUST-1-DOD,10.10.7011.102.BY,1. Project Support,*Systems Engineer,Direct Labor,Overhead Client Site.,,"User5, Clark A.",,,8/29/2020,,USD,,27.24,0.00,
UNANET-01106,8/31/2020,Y,10.02.01,Accounts Receivable,OPS.CS,Consulting Services,CUST-1-DOD,10.10.7011.102.BY,1. Project Support,01020 - ADMIN ASSISTAN,Direct Labor,Direct Labor,,"Director, Chris S.",,,8/1/2020,8.00,USD,47.54631,380.37,0.00,
UNANET-01106,8/31/2020,Y,10.02.01,Accounts Receivable,OPS.CS,Consulting Services,CUST-1-DOD,10.10.7011.102.BY,1. Project Support,01020 - ADMIN ASSISTAN,Direct Labor,Direct Labor,,"Director, Chris S.",,,8/15/2020,8.00,USD,47.54631,380.37,0.00,
UNANET-01106,8/31/2020,Y,10.02.01,Accounts Receivable,OPS.CS,Consulting Services,CUST-1-DOD,10.10.7011.102.BY,1. Project Support,01020 - ADMIN ASSISTAN,Direct Labor,Direct Labor,,"Director, Chris S.",,,8/17/2020,8.00,USD,45.04388,360.35,0.00,
UNANET-01106,8/31/2020,Y,10.02.01,Accounts Receivable,OPS.CS,Consulting Services,CUST-1-DOD,10.10.7011.102.BY,1. Project Support,01020 - ADMIN ASSISTAN,Direct Labor,Direct Labor,,"Director, Chris S.",,,8/31/2020,8.00,USD,45.04388,360.35,0.00,
UNANET-01106,8/31/2020,Y,10.02.01,Accounts Receivable,OPS.CS,Consulting Services,CUST-1-DOD,10.10.7011.102.BY,1. Project Support,01020 - ADMIN ASSISTAN,Direct Labor,Fee on Total Labor,,"Director, Chris S.",,,8/1/2020,,USD,,30.43,0.00,
UNANET-01106,8/31/2020,Y,10.02.01,Accounts Receivable,OPS.CS,Consulting Services,CUST-1-DOD,10.10.7011.102.BY,1. Project Support,01020 - ADMIN ASSISTAN,Direct Labor,Fee on Total Labor,,"Director, Chris S.",,,8/15/2020,,USD,,30.43,0.00,
UNANET-01106,8/31/2020,Y,10.02.01,Accounts Receivable,OPS.CS,Consulting Services,CUST-1-DOD,10.10.7011.102.BY,1. Project Support,01020 - ADMIN ASSISTAN,Direct Labor,Fee on Total Labor,,"Director, Chris S.",,,8/17/2020,,USD,,28.83,0.00,
UNANET-01106,8/31/2020,Y,10.02.01,Accounts Receivable,OPS.CS,Consulting Services,CUST-1-DOD,10.10.7011.102.BY,1. Project Support,01020 - ADMIN ASSISTAN,Direct Labor,Fee on Total Labor,,"Director, Chris S.",,,8/31/2020,,USD,,28.83,0.00,
UNANET-01106,8/31/2020,Y,10.02.01,Accounts Receivable,OPS.CS,Consulting Services,CUST-1-DOD,10.10.7011.102.BY,1. Project Support,01020 - ADMIN ASSISTAN,Direct Labor,Fringe Company Site,,"Director, Chris S.",,,8/1/2020,,USD,,127.42,0.00,
UNANET-01106,8/31/2020,Y,10.02.01,Accounts Receivable,OPS.CS,Consulting Services,CUST-1-DOD,10.10.7011.102.BY,1. Project Support,01020 - ADMIN ASSISTAN,Direct Labor,Fringe Company Site,,"Director, Chris S.",,,8/15/2020,,USD,,127.42,0.00,
UNANET-01106,8/31/2020,Y,10.02.01,Accounts Receivable,OPS.CS,Consulting Services,CUST-1-DOD,10.10.7011.102.BY,1. Project Support,01020 - ADMIN ASSISTAN,Direct Labor,Fringe Company Site,,"Director, Chris S.",,,8/17/2020,,USD,,120.72,0.00,
UNANET-01106,8/31/2020,Y,10.02.01,Accounts Receivable,OPS.CS,Consulting Services,CUST-1-DOD,10.10.7011.102.BY,1. Project Support,01020 - ADMIN ASSISTAN,Direct Labor,Fringe Company Site,,"Director, Chris S.",,,8/31/2020,,USD,,120.72,0.00,
UNANET-01106,8/31/2020,Y,10.02.01,Accounts Receivable,OPS.CS,Consulting Services,CUST-1-DOD,10.10.7011.102.BY,1. Project Support,01020 - ADMIN ASSISTAN,Direct Labor,G&A,,"Director, Chris S.",,,8/1/2020,,USD,,71.48,0.00,
UNANET-01106,8/31/2020,Y,10.02.01,Accounts Receivable,OPS.CS,Consulting Services,CUST-1-DOD,10.10.7011.102.BY,1. Project Support,01020 - ADMIN ASSISTAN,Direct Labor,G&A,,"Director, Chris S.",,,8/15/2020,,USD,,71.48,0.00,
UNANET-01106,8/31/2020,Y,10.02.01,Accounts Receivable,OPS.CS,Consulting Services,CUST-1-DOD,10.10.7011.102.BY,1. Project Support,01020 - ADMIN ASSISTAN,Direct Labor,G&A,,"Director, Chris S.",,,8/17/2020,,USD,,67.72,0.00,
UNANET-01106,8/31/2020,Y,10.02.01,Accounts Receivable,OPS.CS,Consulting Services,CUST-1-DOD,10.10.7011.102.BY,1. Project Support,01020 - ADMIN ASSISTAN,Direct Labor,G&A,,"Director, Chris S.",,,8/31/2020,,USD,,67.72,0.00,
UNANET-01106,8/31/2020,Y,10.02.01,Accounts Receivable,OPS.CS,Consulting Services,CUST-1-DOD,10.10.7011.102.BY,1. Project Support,01020 - ADMIN ASSISTAN,Direct Labor,Overhead Company Site,,"Director, Chris S.",,,8/1/2020,,USD,,192.96,0.00,
UNANET-01106,8/31/2020,Y,10.02.01,Accounts Receivable,OPS.CS,Consulting Services,CUST-1-DOD,10.10.7011.102.BY,1. Project Support,01020 - ADMIN ASSISTAN,Direct Labor,Overhead Company Site,,"Director, Chris S.",,,8/15/2020,,USD,,192.96,0.00,
UNANET-01106,8/31/2020,Y,10.02.01,Accounts Receivable,OPS.CS,Consulting Services,CUST-1-DOD,10.10.7011.102.BY,1. Project Support,01020 - ADMIN ASSISTAN,Direct Labor,Overhead Company Site,,"Director, Chris S.",,,8/17/2020,,USD,,182.81,0.00,
UNANET-01106,8/31/2020,Y,10.02.01,Accounts Receivable,OPS.CS,Consulting Services,CUST-1-DOD,10.10.7011.102.BY,1. Project Support,01020 - ADMIN ASSISTAN,Direct Labor,Overhead Company Site,,"Director, Chris S.",,,8/31/2020,,USD,,182.81,0.00,
UNANET-01106,8/31/2020,Y,10.02.01,Accounts Receivable,OPS.CS,Consulting Services,CUST-1-DOD,10.10.7011.102.BY,1. Project Support,Airfare,Expense reports,Expense reports,,"User4, Charlie",,,8/3/2020,,USD,,500.00,0.00,
UNANET-01106,8/31/2020,Y,10.02.01,Accounts Receivable,OPS.CS,Consulting Services,CUST-1-DOD,10.10.7011.102.BY,1. Project Support,Airfare,Expense reports,Expense reports,,"User4, Charlie",,,8/3/2020,,USD,,450.00,0.00,
UNANET-01106,8/31/2020,Y,10.02.01,Accounts Receivable,OPS.CS,Consulting Services,CUST-1-DOD,10.10.7011.102.BY,1. Project Support,Airfare,Expense reports,Fee on Total ODC,,"User4, Charlie",,,8/3/2020,,USD,,15.00,0.00,
UNANET-01106,8/31/2020,Y,10.02.01,Accounts Receivable,OPS.CS,Consulting Services,CUST-1-DOD,10.10.7011.102.BY,1. Project Support,Airfare,Expense reports,Fee on Total ODC,,"User4, Charlie",,,8/3/2020,,USD,,13.50,0.00,
UNANET-01106,8/31/2020,Y,10.02.01,Accounts Receivable,OPS.CS,Consulting Services,CUST-1-DOD,10.10.7011.102.BY,1. Project Support,Airfare,Expense reports,G&A,,"User4, Charlie",,,8/3/2020,,USD,,51.00,0.00,
UNANET-01106,8/31/2020,Y,10.02.01,Accounts Receivable,OPS.CS,Consulting Services,CUST-1-DOD,10.10.7011.102.BY,1. Project Support,Airfare,Expense reports,G&A,,"User4, Charlie",,,8/3/2020,,USD,,45.90,0.00,
UNANET-01106,8/31/2020,Y,10.02.01,Accounts Receivable,OPS.CS,Consulting Services,CUST-1-DOD,10.10.7011.102.BY,1. Project Support,Business Meals,Expense reports,Expense reports,,"Controller, Frank T.",,,8/9/2020,,USD,,67.22,0.00,
UNANET-01106,8/31/2020,Y,10.02.01,Accounts Receivable,OPS.CS,Consulting Services,CUST-1-DOD,10.10.7011.102.BY,1. Project Support,Business Meals,Expense reports,Expense reports,,"User4, Charlie",,,8/3/2020,,USD,,2.00,0.00,
UNANET-01106,8/31/2020,Y,10.02.01,Accounts Receivable,OPS.CS,Consulting Services,CUST-1-DOD,10.10.7011.102.BY,1. Project Support,Business Meals,Expense reports,Fee on Total ODC,,"Controller, Frank T.",,,8/9/2020,,USD,,2.02,0.00,
UNANET-01106,8/31/2020,Y,10.02.01,Accounts Receivable,OPS.CS,Consulting Services,CUST-1-DOD,10.10.7011.102.BY,1. Project Support,Business Meals,Expense reports,Fee on Total ODC,,"User4, Charlie",,,8/3/2020,,USD,,0.06,0.00,
UNANET-01106,8/31/2020,Y,10.02.01,Accounts Receivable,OPS.CS,Consulting Services,CUST-1-DOD,10.10.7011.102.BY,1. Project Support,Business Meals,Expense reports,G&A,,"Controller, Frank T.",,,8/9/2020,,USD,,6.86,0.00,
UNANET-01106,8/31/2020,Y,10.02.01,Accounts Receivable,OPS.CS,Consulting Services,CUST-1-DOD,10.10.7011.102.BY,1. Project Support,Business Meals,Expense reports,G&A,,"User4, Charlie",,,8/3/2020,,USD,,0.20,0.00,
UNANET-01106,8/31/2020,Y,10.02.01,Accounts Receivable,OPS.CS,Consulting Services,CUST-1-DOD,10.10.7011.102.BY,1. Project Support,Lodging Over Per Diem,Expense reports,Expense reports,,"User4, Charlie",,,8/10/2020,,USD,,273.00,0.00,
UNANET-01106,8/31/2020,Y,10.02.01,Accounts Receivable,OPS.CS,Consulting Services,CUST-1-DOD,10.10.7011.102.BY,1. Project Support,Lodging Over Per Diem,Expense reports,Fee on Total ODC,,"User4, Charlie",,,8/10/2020,,USD,,8.19,0.00,
UNANET-01106,8/31/2020,Y,10.02.01,Accounts Receivable,OPS.CS,Consulting Services,CUST-1-DOD,10.10.7011.102.BY,1. Project Support,Lodging Over Per Diem,Expense reports,G&A,,"User4, Charlie",,,8/10/2020,,USD,,27.85,0.00,
UNANET-01106,8/31/2020,Y,10.02.01,Accounts Receivable,OPS.CS,Consulting Services,CUST-1-DOD,10.10.7011.102.BY,1. Project Support,Lodging Per Diem,Expense reports,Expense reports,,"User4, Charlie",,,8/10/2020,,USD,,1092.00,0.00,
UNANET-01106,8/31/2020,Y,10.02.01,Accounts Receivable,OPS.CS,Consulting Services,CUST-1-DOD,10.10.7011.102.BY,1. Project Support,Lodging Per Diem,Expense reports,Fee on Total ODC,,"User4, Charlie",,,8/10/2020,,USD,,32.76,0.00,
UNANET-01106,8/31/2020,Y,10.02.01,Accounts Receivable,OPS.CS,Consulting Services,CUST-1-DOD,10.10.7011.102.BY,1. Project Support,Lodging Per Diem,Expense reports,G&A,,"User4, Charlie",,,8/10/2020,,USD,,111.38,0.00,
UNANET-01106,8/31/2020,Y,10.02.01,Accounts Receivable,OPS.CS,Consulting Services,CUST-1-DOD,10.10.7011.102.BY,1. Project Support,Materials,MATERIALS,Fee on Total ODC,,"Controller, Frank T.",,,8/10/2020,,USD,,4.68,0.00,
UNANET-01106,8/31/2020,Y,10.02.01,Accounts Receivable,OPS.CS,Consulting Services,CUST-1-DOD,10.10.7011.102.BY,1. Project Support,Materials,MATERIALS,Fee on Total ODC,,"User4, Charlie",,,8/2/2020,,USD,,22.50,0.00,
UNANET-01106,8/31/2020,Y,10.02.01,Accounts Receivable,OPS.CS,Consulting Services,CUST-1-DOD,10.10.7011.102.BY,1. Project Support,Materials,MATERIALS,G&A,,"Controller, Frank T.",,,8/10/2020,,USD,,15.91,0.00,
UNANET-01106,8/31/2020,Y,10.02.01,Accounts Receivable,OPS.CS,Consulting Services,CUST-1-DOD,10.10.7011.102.BY,1. Project Support,Materials,MATERIALS,G&A,,"User4, Charlie",,,8/2/2020,,USD,,76.50,0.00,
UNANET-01106,8/31/2020,Y,10.02.01,Accounts Receivable,OPS.CS,Consulting Services,CUST-1-DOD,10.10.7011.102.BY,1. Project Support,Materials,MATERIALS,MATERIALS,,"Controller, Frank T.",,,8/10/2020,,USD,,156.00,0.00,
UNANET-01106,8/31/2020,Y,10.02.01,Accounts Receivable,OPS.CS,Consulting Services,CUST-1-DOD,10.10.7011.102.BY,1. Project Support,Materials,MATERIALS,MATERIALS,,"User4, Charlie",,,8/2/2020,,USD,,750.00,0.00,
UNANET-01106,8/31/2020,Y,10.02.01,Accounts Receivable,OPS.CS,Consulting Services,CUST-1-DOD,10.10.7011.102.BY,1. Project Support,Rental Car,Expense reports,Expense reports,,"Controller, Frank T.",,,8/3/2020,,USD,,300.00,0.00,
UNANET-01106,8/31/2020,Y,10.02.01,Accounts Receivable,OPS.CS,Consulting Services,CUST-1-DOD,10.10.7011.102.BY,1. Project Support,Rental Car,Expense reports,Expense reports,,"User4, Charlie",,,8/3/2020,,USD,,20.00,0.00,
UNANET-01106,8/31/2020,Y,10.02.01,Accounts Receivable,OPS.CS,Consulting Services,CUST-1-DOD,10.10.7011.102.BY,1. Project Support,Rental Car,Expense reports,Fee on Total ODC,,"Controller, Frank T.",,,8/3/2020,,USD,,9.00,0.00,
UNANET-01106,8/31/2020,Y,10.02.01,Accounts Receivable,OPS.CS,Consulting Services,CUST-1-DOD,10.10.7011.102.BY,1. Project Support,Rental Car,Expense reports,Fee on Total ODC,,"User4, Charlie",,,8/3/2020,,USD,,0.60,0.00,
UNANET-01106,8/31/2020,Y,10.02.01,Accounts Receivable,OPS.CS,Consulting Services,CUST-1-DOD,10.10.7011.102.BY,1. Project Support,Rental Car,Expense reports,G&A,,"Controller, Frank T.",,,8/3/2020,,USD,,30.60,0.00,
UNANET-01106,8/31/2020,Y,10.02.01,Accounts Receivable,OPS.CS,Consulting Services,CUST-1-DOD,10.10.7011.102.BY,1. Project Support,Rental Car,Expense reports,G&A,,"User4, Charlie",,,8/3/2020,,USD,,2.04,0.00,
UNANET-01106,8/31/2020,Y,10.02.01,Accounts Receivable,OPS.CS,Consulting Services,CUST-1-DOD,10.10.7011.102.BY,1. Project Support,SWIFT-Program Manager (CS),Direct Labor,Direct Labor,,"Director, Chris S.",,,8/7/2020,8.00,USD,47.54631,380.37,0.00,
UNANET-01106,8/31/2020,Y,10.02.01,Accounts Receivable,OPS.CS,Consulting Services,CUST-1-DOD,10.10.7011.102.BY,1. Project Support,SWIFT-Program Manager (CS),Direct Labor,Direct Labor,,"Director, Chris S.",,,8/22/2020,8.00,USD,45.04388,360.35,0.00,
UNANET-01106,8/31/2020,Y,10.02.01,Accounts Receivable,OPS.CS,Consulting Services,CUST-1-DOD,10.10.7011.102.BY,1. Project Support,SWIFT-Program Manager (CS),Direct Labor,Fee on Total Labor,,"Director, Chris S.",,,8/7/2020,,USD,,30.43,0.00,
UNANET-01106,8/31/2020,Y,10.02.01,Accounts Receivable,OPS.CS,Consulting Services,CUST-1-DOD,10.10.7011.102.BY,1. Project Support,SWIFT-Program Manager (CS),Direct Labor,Fee on Total Labor,,"Director, Chris S.",,,8/22/2020,,USD,,28.83,0.00,
UNANET-01106,8/31/2020,Y,10.02.01,Accounts Receivable,OPS.CS,Consulting Services,CUST-1-DOD,10.10.7011.102.BY,1. Project Support,SWIFT-Program Manager (CS),Direct Labor,Fringe Company Site,,"Director, Chris S.",,,8/7/2020,,USD,,127.42,0.00,
UNANET-01106,8/31/2020,Y,10.02.01,Accounts Receivable,OPS.CS,Consulting Services,CUST-1-DOD,10.10.7011.102.BY,1. Project Support,SWIFT-Program Manager (CS),Direct Labor,Fringe Company Site,,"Director, Chris S.",,,8/22/2020,,USD,,120.72,0.00,
UNANET-01106,8/31/2020,Y,10.02.01,Accounts Receivable,OPS.CS,Consulting Services,CUST-1-DOD,10.10.7011.102.BY,1. Project Support,SWIFT-Program Manager (CS),Direct Labor,G&A,,"Director, Chris S.",,,8/7/2020,,USD,,71.48,0.00,
UNANET-01106,8/31/2020,Y,10.02.01,Accounts Receivable,OPS.CS,Consulting Services,CUST-1-DOD,10.10.7011.102.BY,1. Project Support,SWIFT-Program Manager (CS),Direct Labor,G&A,,"Director, Chris S.",,,8/22/2020,,USD,,67.72,0.00,
UNANET-01106,8/31/2020,Y,10.02.01,Accounts Receivable,OPS.CS,Consulting Services,CUST-1-DOD,10.10.7011.102.BY,1. Project Support,SWIFT-Program Manager (CS),Direct Labor,Overhead Company Site,,"Director, Chris S.",,,8/7/2020,,USD,,192.96,0.00,
UNANET-01106,8/31/2020,Y,10.02.01,Accounts Receivable,OPS.CS,Consulting Services,CUST-1-DOD,10.10.7011.102.BY,1. Project Support,SWIFT-Program Manager (CS),Direct Labor,Overhead Company Site,,"Director, Chris S.",,,8/22/2020,,USD,,182.81,0.00,
