ProjectOwningOrg,ProjectOrg,Project,BillType,BillingStatus,Task,Category,DocType,DocumentNumber/ExpenseReportNumber,CostElement,Person,Vendor/Customer,ItemDate,Quantity,InvoiceNumber,JournalDate,BillingCurrency,AmountInBillingCurrency
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,Materials,ER,515,Fee on Total ODC,"Controller, Frank T.",,9/10/2020,,,9/30/2020,USD,4.68
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,Materials,ER,515,Fee on Total ODC,"Controller, Frank T.",,9/10/2020,,,9/30/2020,USD,-4.68
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,Materials,ER,515,G&A,"Controller, Frank T.",,9/10/2020,,,9/30/2020,USD,15.91
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,Materials,ER,515,G&A,"Controller, Frank T.",,9/10/2020,,,9/30/2020,USD,-15.91
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,Materials,ER,515,MATERIALS,"Controller, Frank T.",,9/10/2020,,,9/30/2020,USD,156.00
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,Materials,ER,515,MATERIALS,"Controller, Frank T.",,9/10/2020,,,9/30/2020,USD,-156.00
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,Materials,ER,521,Fee on Total ODC,"User4, Charlie",,9/2/2020,,,9/30/2020,USD,22.50
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,Materials,ER,521,Fee on Total ODC,"User4, Charlie",,9/2/2020,,,9/30/2020,USD,-22.50
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,Materials,ER,521,G&A,"User4, Charlie",,9/2/2020,,,9/30/2020,USD,76.50
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,Materials,ER,521,G&A,"User4, Charlie",,9/2/2020,,,9/30/2020,USD,-76.50
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,Materials,ER,521,MATERIALS,"User4, Charlie",,9/2/2020,,,9/30/2020,USD,750.00
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,Materials,ER,521,MATERIALS,"User4, Charlie",,9/2/2020,,,9/30/2020,USD,-750.00
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,Rental Car,ER,515,Expense reports,"Controller, Frank T.",,9/3/2020,,,9/30/2020,USD,300.00
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,Rental Car,ER,515,Expense reports,"Controller, Frank T.",,9/3/2020,,,9/30/2020,USD,-300.00
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,Rental Car,ER,515,Fee on Total ODC,"Controller, Frank T.",,9/3/2020,,,9/30/2020,USD,9.00
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,Rental Car,ER,515,Fee on Total ODC,"Controller, Frank T.",,9/3/2020,,,9/30/2020,USD,-9.00
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,Rental Car,ER,515,G&A,"Controller, Frank T.",,9/3/2020,,,9/30/2020,USD,30.60
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,Rental Car,ER,515,G&A,"Controller, Frank T.",,9/3/2020,,,9/30/2020,USD,-30.60
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,Rental Car,ER,522,Expense reports,"User4, Charlie",,9/3/2020,,,9/30/2020,USD,20.00
OPS.CS,CUST-1-DOD,10.10.7011.102.BY,CP,Deferred,1. Project Support,Rental Car,ER,522,Expense reports,"User4, Charlie",,9/3/2020,,,9/30/2020,USD,-20.00
